CHR176;+
CHR177;+
CHR178;+
CHR179;+
CHR180;+
CHR181;+
CHR182;+
CHR186;+
CHR187;+
CHR191;+
CHR192;+
CHR193;+
CHR194;+
CHR196;+
CHR197;+
CHR198;+
CHR199;+
CHR200;+
CHR201;+
CHR202;+
CHR203;+
CHR204;+
CHR205;+
CHR206;+
CHR208;+
CHR209;+
CHR210;+
CHR211;+
CHR212;+
CHR213;+
CHR214;+
CHR215;+
CHR216;+
CHR219;+
CHR220;+
CHR221;+
CHR223;+
CHR224;+
CHR225;+
CHR226;+
CHR228;+
CHR230;+
CHR232;+
CHR233;+
CHR234;+
CHR236;+
CHR237;+
CHR238;+
CHR239;+
CHR240;+
CHR241;+
CHR242;+
CHR243;+
CHR245;+
CHR246;+
CHR249;+
CHR250;+
CHR251;+
CHR255;+
CHR256;+
CHR258;+
CHR260;+
CHR262;+
CHR263;+
CHR264;+
CHR266;+
CHR268;+
CHR269;+
CHR271;+
CHR273;+
CHR274;+
CHR275;+
CHR276;+
CHR278;+
CHR281;+
CHR282;+
CHR283;+
CHR284;+
CHR285;+
CHR286;+
CHR287;+
CHR289;+
CHR290;+
CHR291;+
CHR292;+
CHR293;+
CHR294;+
CHR295;+
CHR296;+
CHR297;+
CHR299;+
CHR300;+
CHR301;+
CHR302;+
CHR303;+
CHR304;+
CHR305;+
CHR306;+
CHR307;+
CHR308;+
CHR310;+
CHR311;+
CHR312;+
CHR318;+
CHR319;+
CHR323;+
CHR325;+
CHR327;+
CHR328;+
CHR329;+
CHR331;+
CHR333;+
CHR334;+
CHR335;+
CHR336;+
CHR337;+
CHR338;+
CHR342;+
CHR343;+
CHR344;+
CHR345;+
CHR346;+
CHR347;+
CHR348;+
CHR349;+
CHR350;+
CHR351;+
CHR352;+
CHR353;+
CHR354;+
CHR355;+
CHR356;+
CHR357;+
CHR358;+
CHR359;+
CHR360;+
CHR363;+
CHR365;+
CHR366;+
CHR367;+
CHR368;+
CHR369;+
CHR370;+
CHR371;+
CHR372;+
CHR373;+
CHR375;+
CHR376;+
CHR377;+
CHR378;+
CHR379;+
CHR380;+
CHR382;+
CHR383;+
CHR387;+
CHR388;+
CHR389;+
CHR390;+
CHR391;+
CHR392;+
CHR393;+
CHR394;+
CHR395;+
CHR396;+
CHR397;+
CHR398;+
CHR399;+
CHR400;+
CHR401;+
CHR402;+
CHR403;+
CHR405;+
CHR406;+
CHR407;+
CHR408;+
CHR412;+
CHR413;+
CHR414;+
CHR415;+
CHR418;+
CHR419;+
CHR420;+
CHR421;+
CHR422;+
CHR423;+
CHR424;+
CHR425;+
CHR426;+
CHR427;+
CHR428;+
CHR429;+
CHR430;+
CHR431;+
CHR433;+
CHR436;+
CHR437;+
CHR438;+
CHR439;+
CHR440;+
CHR441;+
CHR442;+
CHR444;+
CHR447;+
CHR448;+
CHR449;+
CHR450;+
CHR451;+
CHR452;+
CHR453;+
CHR455;+
CHR456;+
CHR457;+
CHR458;+
CHR459;+
CHR460;+
CHR461;+
CHR463;+
CHR465;+
CHR467;+
CHR468;+
CHR471;+
CHR472;+
CHR474;+
CHR475;+
CHR476;+
CHR477;+
CHR478;+
CHR480;+
CHR481;+
CHR482;+
CHR483;+
CHR484;+
CHR485;+
CHR487;+
CHR492;+
CHR494;+
CHR495;+
CHR501;+
CHR502;+
CHR503;+
CHR504;+
CHR505;+
CHR506;+
CHR507;+
CHR509;+
CHR513;+
CHR516;+
CHR518;+
CHR519;+
CHR522;+
CHR523;+
CHR525;+
CHR526;+
CHR528;+
CHR530;+
CHR531;+
CHR535;+
CHR538;+
CHR539;+
CHR540;+
CHR544;+
CHR546;+
CHR547;+
CHR548;+
CHR550;+
CHR553;+
CHR557;+
CHR564;+
CHR565;+
CHR566;+
CHR569;+
CHR571;+
CHR574;+
CHR589;+
CHR591;+
CHR592;+
CHR594;+
CHR597;+
CHR599;+
CHR605;+
CHR606;+
CHR607;+
CHR608;+
CHR609;+
CHR612;+
CHR613;+
CHR615;+
CHR617;+
CHR621;+
CHR622;+
CHR624;+
CHR626;+
CHRA02;+
CHRA03;+
CHRA04;+
CHRA05;+
CHRA06;+
CHRA08;+
CHRA09;+
CHRA10;+
CHRA11;+
CHRA12;+
CHRA13;+
CHRA14;+
CHRA16;+
CHRA18;+
CHRA22;+
CHRA23;+
