0098309;+
0098330;+
0098462;+
0098581;+
0098618;+
0098900;+
0099369;+
0099501;+
0099545;+
0099559;+
0099647;+
0099721;+
0099749;+
0099854;+
0100067;+
0100186;+
0100261;+
0100518;+
0101547;+
0101754;+
0101856;+
0102001;+
0102633;+
0102681;+
0102695;+
0102752;+
0102810;+
0102868;+
0103424;+
0103662;+
0103676;+
0103849;+
0103937;+
0103971;+
0104056;+
0104113;+
0104144;+
0104175;+
0104232;+
0104263;+
0104351;+
0104436;+
0104467;+
0104538;+
0104590;+
0104630;+
0104851;+
0104864;+
0104949;+
0105006;+
0105111;+
0105191;+
0105244;+
0105315;+
0105363;+
0105434;+
0105479;+
0105540;+
0105638;+
0105712;+
0105730;+
0105828;+
0106052;+
0106137;+
0122914;+
0122980;+
0127141;+
0129029;+
0129046;+
0129219;+
0129307;+
0131342;+
0132059;+
0132221;+
0132765;+
0133454;+
0134894;+
0136431;+
0139524;+
0140884;+
0143331;+
0144771;+
0144975;+
0146631;+
0146645;+
0146835;+
0147569;+
0148111;+
0148672;+
0151376;+
0151981;+
0152944;+
0153783;+
0153911;+
0154530;+
0154659;+
0155011;+
0155691;+
0155728;+
0157225;+
0158427;+
0159031;+
0160065;+
0161412;+
0162177;+
0163507;+
0164275;+
0165004;+
0165901;+
0166387;+
0167204;+
0168499;+
0168613;+
0168689;+
0168922;+
0170092;+
0170486;+
0171011;+
0172108;+
0172536;+
0173891;+
0174206;+
0174254;+
0174988;+
0175805;+
0176264;+
0176423;+
0177302;+
0177541;+
0177815;+
0178005;+
0180006;+
0180712;+
0180726;+
0180774;+
0180831;+
0181579;+
0181826;+
0182285;+
0182489;+
0184114;+
0184128;+
0184202;+
0184511;+
0184936;+
0186067;+
0186107;+
0186138;+
0186314;+
0186393;+
0187017;+
0187255;+
0187269;+
0187595;+
0187604;+
0187754;+
0187927;+
0188960;+
0188991;+
0189115;+
0189177;+
0189336;+
0189733;+
0189954;+
0190064;+
0190237;+
0190581;+
0190807;+
0190841;+
0191751;+
0191782;+
0191955;+
0192009;+
0192101;+
0192410;+
0192468;+
0192689;+
0192851;+
0192984;+
0194209;+
0194230;+
0194433;+
0194549;+
0194742;+
0195140;+
0195374;+
0195670;+
0196094;+
0196718;+
0197075;+
0197398;+
0197512;+
